status,filename,title,pubDate,thumbnail,siteName,author,url
OK,ex_20260518_music_rev_beautiful-dreamer.md,Beautiful Dreamer,2026-05-18,×,,,https://moma-bd.com/
OK,ex_20240116_music_rev_grunge-alternative-guranjiorutanateivu-no-sougou-saito.md,GRUNGE ALTERNATIVE （グランジ・オルタナティヴ）の総合サイト,2024-01-16,○,GRUNGE ALTERNATIVE （グランジ・オルタナティヴ）の総合サイト,,https://sound.heavy.jp/grunge/
OK,ex_20450115_music_rev_bungeibukeiongakubu.md,ブンゲイブ・ケイオンガクブ,2045-01-15,○,ブンゲイブ・ケイオンガクブ,,https://ystmokzk.hatenablog.jp/
OK,ex_20200219_movie_rev_best-of-2019---ll.md,BEST OF 2019 - LL,2020-02-19,○,LL,,https://listening-log.hatenablog.com/entry/2020/02/19/182321
OK,ex_20260518_movie_rev_shippai.md,失敗,2026-05-18,×,,,https://www.random-noir.net/list-2/
