status,filename,title,pubDate,thumbnail,siteName,author,url
OK,ex_20200219_music_rev_best-of-2019---ll.md,BEST OF 2019 - LL,2020-02-19,○,LL,,https://listening-log.hatenablog.com/entry/2020/02/19/182321
OK,ex_20140411_essay_rev_morishita-kudan-to-tsutsukana-ga-tsukuri-dashi-tamono-dai-3.md,森下九段とツツカナが創り出したもの「第3回将棋電王戦」第4局 - 好敵手から生まれた名勝負の秘密,2014-04-11,○,マイナビニュース,,https://news.mynavi.jp/article/20140411-denou3/
OK,ex_20250520_music_rev_furiijazu-inpuro-houmen-kara-horu-nels-cline-no-egu-i-ensou.md,フリージャズ～インプロ方面から掘るNels Clineのエグい演奏｜よろすず,2025-05-20,○,note,よろすず,https://note.com/yorosz/n/ndbf0e04578cc
OK,ex_20221013_music_rev_arubamurebyuu-ellen-arkbro-johan-graden-i-get-along-without.md,アルバムレビュー：Ellen Arkbro & Johan Graden『I get along without you very well』｜よろすず,2022-10-13,○,note,よろすず,https://note.com/yorosz/n/ndbe34429d18d?magazine_key=m97a0a50aac5f
OK,ex_20241017_essay_rev_naze-amazon-ha-prime-video-ni-koukoku-wobuchi-kome-runoka-p2.md,なぜAmazonはPrime Videoに広告をぶち込めるのか » p2ptk[.]org,2024-10-17,○,p2ptk[.]org »,heatwave_p2p,https://p2ptk.org/monopoly/4880/
OK,ex_20140411_essay_rev_morishita-kudan-to-tsutsukana-ga-tsukuri-dashi-tamono-dai-3.md,森下九段とツツカナが創り出したもの「第3回将棋電王戦」第4局 - 好敵手から生まれた名勝負の秘密,2014-04-11,○,マイナビニュース,,https://news.mynavi.jp/article/20140411-denou3/
OK,ex_20230825_essay_rev_owa-tta-media-ni-fureru-3d-blu-ray-taikenki-muubiinaazu.md,終わったメディアに触れる 〜3D Blu-ray体験記〜 | ムービーナーズ,2023-08-25,○,ムービーナーズ,,https://m-nerds.com/3dbluray_fureru
OK,ex_20260516_movie_rev_tokubetsu-teidan-miyake-shou-x-hamaguchi-ryuusuke-x-miura-te.md,特別鼎談　三宅唱×濱口竜介×三浦哲哉偶然を構築して、偶然を待つ──『夜明けのすべて』の演出をめぐって | Creator's Words 三宅唱,2026-05-16,○,かみのたね,,http://www.kaminotane.com/2024/03/05/25508/
OK,ex_20260516_movie_rev_tokubetsu-teidan-hamaguchi-ryuusuke-x-miyake-shou-x-miura-te.md,特別鼎談　濱口竜介×三宅唱×三浦哲哉映画で「目撃する」ということ── 『悪は存在しない』をめぐって | Creator's Words 三宅唱,2026-05-16,○,かみのたね,,http://www.kaminotane.com/2024/06/26/25784/
OK,ex_20211225_music_rev_guranjimuubumento-ga-metaru-ni-atae-ta-eikyou-1992-1995-vaju.md,グランジムーブメントがメタルに与えた影響：1992-1995｜ヴァジュラ𝔦𝔡,2021-12-25,○,note,ヴァジュラ𝔦𝔡,https://note.com/yasuhide1978/n/n7bb21c6604b6
OK,ex_20260516_music_rev_taira-tyla-tettei-kaisetsu-ekkyou-suru-amapiano-to-afurikanm.md,タイラ『TYLA』徹底解説　越境するアマピアノとアフリカンミュージックの新たな地平 | Rolling Stone Japan(ローリングストーン ジャパン）,2026-05-16,○,Rolling Stone Japan,,https://rollingstonejapan.com/articles/detail/40780/1/1/1
OK,ex_20230601_music_rev_metaru-ha-hiraka-reta-ongaku-toshite-hatten-suru-poppusu-ya.md,メタルは“開かれた音楽”として発展する　ポップスやヒップホップなど広範なジャンルへの浸透も,2023-06-01,○,Real Sound｜リアルサウンド,,https://realsound.jp/2023/06/post-1338306.html
OK,ex_20210430_music_rev_kiroku-shiriizu-slint-kara-tadoru-ruibiru-no-posutorokku---a.md,記録シリーズ：Slintから辿るルイビルのポストロック - 朱莉TeenageRiot,2021-04-30,○,朱莉TeenageRiot,,https://kusodekaihug2.hatenablog.com/entry/2021/04/30/013859
OK,ex_20210323_music_rev_kiroku-shiriizu-rodan-june-of-44---akari-teenageriot.md,記録シリーズ：Rodan / June of 44 - 朱莉TeenageRiot,2021-03-23,○,朱莉TeenageRiot,,https://kusodekaihug2.hatenablog.com/entry/2021/03/23/182821
OK,ex_20260110_music_rev_kiroku-shiriizu-uri-gagarn---akari-teenageriot.md,記録シリーズ：uri gagarn - 朱莉TeenageRiot,2026-01-10,○,朱莉TeenageRiot,,https://kusodekaihug2.hatenablog.com/entry/2021/02/21/030938
OK,ex_20260516_essay_rev_hou-hou-chuugoku-no-kakyo-toha-nanda-ttanoka-hontou-ni-merit.md,彭澎「中国の科挙とは何だったのか？ 本当にメリトクラシー（実力主義）に基づいた選別・統治手段だったのだろうか？」（2025年３月31日）,2026-05-16,○,経済学101,,https://econ101.jp/he-myth-of-meritocracy-how-exams/
OK,ex_20260516_essay_rev_dai-1-kai-kotoba-hadokokarayatte-kuru-nokaaa-chuudou-wazato.md,"第1回　言葉はどこからやって来るのか――中動態と与格構文 ｜ 國分功一郎×中島岳志「立ち尽くす思想」 ｜ 國分功一郎 , 中島岳志 ｜ 対談・インタビュー ｜ 考える人 ｜ 新潮社",2026-05-16,○,考える人,株式会社新潮社,https://kangaeruhito.jp/interview/761148
OK,ex_20250628_music_rev_club-mix-kooneriasu-no-komento-ha-iyou-ni-mijikai---water-wa.md,【Club Mix】コーネリアスのコメントは異様に短い - Water Walk,2025-06-28,○,Water Walk - Avant-Garde Music Magazine,EPOCALC,https://waterwalkmusic.com/archives/743
