status,filename,title,pubDate,thumbnail,siteName,author,url
OK,ex_20200219_music_rev_best-of-2019---ll.md,BEST OF 2019 - LL,2020-02-19,○,LL,,https://listening-log.hatenablog.com/entry/2020/02/19/182321
OK,ex_20140411_essay_rev_morishita-kudan-to-tsutsukana-ga-tsukuri-dashi-tamono-dai-3.md,森下九段とツツカナが創り出したもの「第3回将棋電王戦」第4局 - 好敵手から生まれた名勝負の秘密,2014-04-11,○,マイナビニュース,,https://news.mynavi.jp/article/20140411-denou3/
OK,ex_20250520_music_rev_furiijazu-inpuro-houmen-kara-horu-nels-cline-no-egu-i-ensou.md,フリージャズ～インプロ方面から掘るNels Clineのエグい演奏｜よろすず,2025-05-20,○,note（ノート）,よろすず,https://note.com/yorosz/n/ndbf0e04578cc
OK,ex_20221013_music_rev_arubamurebyuu-ellen-arkbro-johan-graden-i-get-along-without.md,アルバムレビュー：Ellen Arkbro &amp; Johan Graden『I get along without you very well』｜よろすず,2022-10-13,○,note（ノート）,よろすず,https://note.com/yorosz/n/ndbe34429d18d?magazine_key=m97a0a50aac5f
OK,ex_20241017_essay_rev_naze-amazon-ha-prime-video-ni-koukoku-wobuchi-kome-runoka-p2.md,\u306a\u305cAmazon\u306fPrime Video\u306b\u5e83\u544a\u3092\u3076\u3061\u8fbc\u3081\u308b\u306e\u304b \u00bb p2ptk[.]org,2024-10-17,○,p2ptk[.]org »,heatwave_p2p,https://p2ptk.org/monopoly/4880/
OK,ex_20140411_essay_rev_morishita-kudan-to-tsutsukana-ga-tsukuri-dashi-tamono-dai-3.md,森下九段とツツカナが創り出したもの「第3回将棋電王戦」第4局 - 好敵手から生まれた名勝負の秘密,2014-04-11,○,マイナビニュース,,https://news.mynavi.jp/article/20140411-denou3/
OK,ex_20230825_essay_rev_owa-tta-media-ni-fureru-3d-blu-ray-taikenki-muubiinaazu.md,\u7d42\u308f\u3063\u305f\u30e1\u30c7\u30a3\u30a2\u306b\u89e6\u308c\u308b \u301c3D Blu-ray\u4f53\u9a13\u8a18\u301c | \u30e0\u30fc\u30d3\u30fc\u30ca\u30fc\u30ba,2023-08-25,○,ムービーナーズ,,https://m-nerds.com/3dbluray_fureru
OK,ex_20260516_movie_rev_tokubetsu-teidan-miyake-shou-x-hamaguchi-ryuusuke-x-miura-te.md,特別鼎談　三宅唱×濱口竜介×三浦哲哉偶然を構築して、偶然を待つ──『夜明けのすべて』の演出をめぐって | Creator's Words 三宅唱,2026-05-16,○,かみのたね,,http://www.kaminotane.com/2024/03/05/25508/
OK,ex_20260516_movie_rev_tokubetsu-teidan-hamaguchi-ryuusuke-x-miyake-shou-x-miura-te.md,特別鼎談　濱口竜介×三宅唱×三浦哲哉映画で「目撃する」ということ── 『悪は存在しない』をめぐって | Creator's Words 三宅唱,2026-05-16,○,かみのたね,,http://www.kaminotane.com/2024/06/26/25784/
OK,ex_20211225_music_rev_guranjimuubumento-ga-metaru-ni-atae-ta-eikyou-1992-1995-vaju.md,グランジムーブメントがメタルに与えた影響：1992-1995｜ヴァジュラ𝔦𝔡,2021-12-25,○,note（ノート）,ヴァジュラ𝔦𝔡,https://note.com/yasuhide1978/n/n7bb21c6604b6
